Credibility Code,Sample Size,Precision,Abundance,Significance, AOU,Region,Species Name,Region Name,Model, N Routes, Trend, 2.5%CI, 97.5%CI,Relative Abundance
  ,  ,  ,  ,  ,1770,US ,Black-bellied Whistling-Duck            ,                                        , DD,183,1.504,-1.107,4.126,8.103
  ,  ,  ,  ,  ,1770,SUR,Black-bellied Whistling-Duck            ,                                        , DD,183,1.504,-1.107,4.126,8.103
  ,  ,  ,  ,  ,1770,US1,Black-bellied Whistling-Duck            ,                                        , DD,183,1.504,-1.107,4.126,8.103
  ,  ,  ,  ,  ,1770,SU1,Black-bellied Whistling-Duck            ,                                        , DD,183,1.504,-1.107,4.126,8.103
 R, R, R, R,  ,1780,S21,Fulvous Whistling-Duck                  ,                                        , Dh,4,-0.214,-7.771,7.102,0.051
 R, R, R, R,  ,1780,S26,Fulvous Whistling-Duck                  ,                                        , Dh,3,0.492,-7.998,10.395,0.083
 R, R, R, Y,  ,1780,S31,Fulvous Whistling-Duck                  ,                                        , Dh,3,1.125,-8.24,11.257,0.687
 R, Y, R,  ,  ,1780,S36,Fulvous Whistling-Duck                  ,                                        , Dh,5,0.058,-6.017,6.893,3.066
 Y,  , Y,  ,  ,1780,S37,Fulvous Whistling-Duck                  ,                                        , Dh,32,1.717,-1.432,5.361,45.707
 R, R, R, Y,  ,1780,FLA,Fulvous Whistling-Duck                  ,                                        , Dh,3,1.125,-8.24,11.257,0.687
 Y,  , Y,  ,  ,1780,LA ,Fulvous Whistling-Duck                  ,                                        , Dh,15,2.3,-2.102,7.437,19.582
 Y,  , Y,  ,  ,1780,TEX,Fulvous Whistling-Duck                  ,                                        , Dh,29,1.029,-2.408,5.208,7.083
 Y,  , Y,  ,  ,1780,US ,Fulvous Whistling-Duck                  ,                                        , Dh,47,1.601,-1.174,4.987,8.032
 Y,  , Y,  ,  ,1780,SUR,Fulvous Whistling-Duck                  ,                                        , Dh,47,1.601,-1.174,4.987,8.032
 Y,  , Y,  ,  ,1780,US1,Fulvous Whistling-Duck                  ,                                        , Dh,47,1.601,-1.174,4.987,8.032
 Y,  , Y,  ,  ,1780,SU1,Fulvous Whistling-Duck                  ,                                        , Dh,47,1.601,-1.174,4.987,8.032
 R, R,  ,  ,  ,1710,S03,Greater White-fronted Goose             ,                                        , Dh,3,0,-1.127,4.784,5.382
 R, Y,  , R,  ,1710,S04,Greater White-fronted Goose             ,                                        , Dh,7,0,-3.898,1.303,0.04
 Y, Y,  ,  ,  ,1710,AK ,Greater White-fronted Goose             ,                                        , Dh,10,0,-1.127,4.71,1.616
 Y, Y,  ,  ,  ,1710,US ,Greater White-fronted Goose             ,                                        , Dh,10,0,-1.127,4.71,1.616
 Y, Y,  ,  ,  ,1710,SUR,Greater White-fronted Goose             ,                                        , Dh,10,0,-1.127,4.71,1.616
 R, Y, R,  ,  ,1720,S02,Canada Goose                            ,                                        , Dh,8,0.418,-7.96,9.631,15.626
 R, R, R,  ,  ,1720,S03,Canada Goose                            ,                                        , Dh,4,3.814,-6.459,15.429,48.244
 R,  , R,  ,  ,1720,S04,Canada Goose                            ,                                        , Dh,40,-4.374,-9.57,1.051,4.574
 Y,  , Y,  ,  ,1720,S05,Canada Goose                            ,                                        , Dh,104,4.044,-0.279,8.911,22.475
 Y,  , Y,  ,1,1720,S06,Canada Goose                            ,                                        , Dh,129,8.658,4.486,13.307,42.889
 R,  , R,  ,1,1720,S08,Canada Goose                            ,                                        , Dh,90,14.454,8.254,21.233,26.012
 Y,  , Y,  ,  ,1720,S09,Canada Goose                            ,                                        , Dh,154,2.885,-0.083,6.336,24.044
 Y,  , Y,  ,1,1720,S10,Canada Goose                            ,                                        , Dh,177,3.695,0.32,7.002,24.847
  ,  ,  ,  ,1,1720,S11,Canada Goose                            ,                                        , Dh,299,8.039,5.359,10.584,146.431
 Y,  , Y,  ,1,1720,S12,Canada Goose                            ,                                        , Dh,237,9.626,6.536,12.537,36.151
  ,  ,  ,  ,1,1720,S13,Canada Goose                            ,                                        , Dh,165,4.532,1.719,7.313,162.177
 Y,  , Y,  ,1,1720,S14,Canada Goose                            ,                                        , Dh,197,11.332,7.539,15.107,7.217
 R,  , R,  ,1,1720,S15,Canada Goose                            ,                                        , Dh,20,7.432,0.801,14.405,10.334
 Y,  , Y,  ,1,1720,S16,Canada Goose                            ,                                        , Dh,97,3.954,0.183,7.984,6.118
 Y,  , Y,  ,1,1720,S17,Canada Goose                            ,                                        , Dh,81,9.21,5.092,13.61,14.464
 R,  , R,  ,1,1720,S18,Canada Goose                            ,                                        , Dh,26,8.169,1.883,14.796,1.747
 R,  , R,  ,1,1720,S19,Canada Goose                            ,                                        , Dh,53,7.542,2.444,12.985,3.221
 R,  , R,  ,1,1720,S21,Canada Goose                            ,                                        , Dh,20,17.797,10.272,25.982,2.603
  ,  ,  ,  ,1,1720,S22,Canada Goose                            ,                                        , Dh,240,5.649,3.046,8.363,46.603
 Y,  , Y,  ,1,1720,S23,Canada Goose                            ,                                        , Dh,136,7.656,4.269,11.626,139.837
 Y,  , Y,  ,1,1720,S24,Canada Goose                            ,                                        , Dh,116,9.287,5.643,12.829,11.979
 R,  , R,  ,1,1720,S25,Canada Goose                            ,                                        , Dh,22,6.56,0.124,14.496,2.871
 R,  , R,  ,1,1720,S26,Canada Goose                            ,                                        , Dh,24,8.983,1.453,16.88,3.073
 Y,  , Y,  ,1,1720,S27,Canada Goose                            ,                                        , Dh,175,13.588,10.169,16.892,6.672
  ,  ,  ,  ,1,1720,S28,Canada Goose                            ,                                        , Dh,258,3.86,1.555,6.142,43.472
 Y,  , Y,  ,1,1720,S29,Canada Goose                            ,                                        , Dh,130,3.424,0.194,6.706,72.448
 Y,  , Y,  ,  ,1720,S30,Canada Goose                            ,                                        , Dh,115,1.85,-2.351,5.645,200.72
 R, Y, R, R,  ,1720,S31,Canada Goose                            ,                                        , Dh,5,4.272,-7.274,17.549,0.067
 R,  , R,  ,1,1720,S32,Canada Goose                            ,                                        , Dh,32,15.998,10.223,21.959,9.784
 R, R, R, R,  ,1720,S34,Canada Goose                            ,                                        , Dh,3,-3.645,-16.496,10.364,0.053
 R, R, R,  ,1,1720,S37,Canada Goose                            ,                                        , Dh,2,16.096,2.416,31.804,1.119
 R,  , R,  ,1,1720,ALA,Canada Goose                            ,                                        , Dh,59,15.018,9.828,20.566,7.203
 R,  , R,  ,  ,1720,AK ,Canada Goose                            ,                                        , Dh,45,1.222,-5.452,9.743,17.856
 Y,  , Y,  ,1,1720,ALB,Canada Goose                            ,                                        , Dh,159,9.195,5.981,12.504,56.879
 R, R, R, R,  ,1720,ARI,Canada Goose                            ,                                        , Dh,3,-3.645,-16.496,10.364,0.053
 R,  , R,  ,1,1720,ARK,Canada Goose                            ,                                        , Dh,29,9.331,3.161,16.106,3.18
 Y,  , Y,  ,  ,1720,BC ,Canada Goose                            ,                                        , Dh,109,3.207,-0.445,7.017,50.591
 Y,  , Y,  ,  ,1720,CAL,Canada Goose                            ,                                        , Dh,80,3.265,-1.238,7.873,16.898
 Y,  , Y,  ,  ,1720,COL,Canada Goose                            ,                                        , Dh,88,3.934,-0.147,8.176,7.527
 R,  , R,  ,  ,1720,CON,Canada Goose                            ,                                        , Dh,15,-4.847,-11.27,1.806,73.538
 R, Y, R,  ,1,1720,DEL,Canada Goose                            ,                                        , Dh,11,14.633,6.456,23.478,226.553
 R,  , R, Y,  ,1720,FLA,Canada Goose                            ,                                        , Dh,14,5.601,-3.353,15.81,0.597
 Y,  , Y,  ,1,1720,GA ,Canada Goose                            ,                                        , Dh,80,10.225,5.466,14.959,15.742
 R,  , R,  ,1,1720,IA ,Canada Goose                            ,                                        , Dh,33,12.536,6.742,18.31,32.276
 Y,  , Y,  ,  ,1720,IDA,Canada Goose                            ,                                        , Dh,39,3.87,-0.677,8.479,7.958
 Y,  , Y,  ,1,1720,ILL,Canada Goose                            ,                                        , Dh,99,6.952,3.671,10.451,36.246
 Y,  , Y,  ,1,1720,IND,Canada Goose                            ,                                        , Dh,62,4.22,0.409,8.387,104.523
 R,  , R,  ,1,1720,KAN,Canada Goose                            ,                                        , Dh,41,11.125,5.277,16.997,9.504
 R,  , R,  ,1,1720,KY ,Canada Goose                            ,                                        , Dh,36,16.922,10.673,23.666,8.572
 R, Y, R, Y,1,1720,LA ,Canada Goose                            ,                                        , Dh,10,10.841,0.243,23.527,0.707
 R,  , R,  ,1,1720,MAN,Canada Goose                            ,                                        , Dh,82,14.249,9.589,20.09,102.812
 R,  , R,  ,  ,1720,MAS,Canada Goose                            ,                                        , Dh,26,1.733,-3.342,7.599,50.095
 Y,  , Y,  ,1,1720,MD ,Canada Goose                            ,                                        , Dh,64,6.599,2.323,10.87,266.284
 R,  , R,  ,1,1720,ME ,Canada Goose                            ,                                        , Dh,50,7.284,1.692,13.244,5.11
 Y,  , Y,  ,1,1720,MIC,Canada Goose                            ,                                        , Dh,76,4.55,0.808,8.468,32.901
 Y,  , Y,  ,1,1720,MIN,Canada Goose                            ,                                        , Dh,83,8.288,4.4,12.527,170.326
 R,  , R,  ,1,1720,MIS,Canada Goose                            ,                                        , Dh,25,11.823,3.538,19.955,1.842
 Y,  , Y,  ,1,1720,MO ,Canada Goose                            ,                                        , Dh,62,5.726,0.843,10.691,10.682
 Y,  , Y,  ,1,1720,MON,Canada Goose                            ,                                        , Dh,79,7.846,4.017,12.119,14.771
 R,  , R,  ,1,1720,NB ,Canada Goose                            ,                                        , Dh,30,24.015,15.773,33.422,4.529
 Y,  , Y,  ,1,1720,NC ,Canada Goose                            ,                                        , Dh,75,8.747,3.931,13.478,30.165
 Y,  , Y,  ,1,1720,ND ,Canada Goose                            ,                                        , Dh,47,13.332,8.839,18.076,177.448
 R,  , R,  ,1,1720,NEB,Canada Goose                            ,                                        , Dh,40,9.58,4.198,15.481,7.7
 R,  , R,  ,  ,1720,NEV,Canada Goose                            ,                                        , Dh,18,6.612,-0.153,13.92,25.519
 R,  , R,  ,1,1720,NF ,Canada Goose                            ,                                        , Dh,20,13.428,4.358,23.184,6.093
 R,  , R,  ,1,1720,NH ,Canada Goose                            ,                                        , Dh,24,7.446,1.681,13.302,14.463
 Y,  , Y,  ,  ,1720,NJ ,Canada Goose                            ,                                        , Dh,30,1.384,-3.294,6.247,269.058
 R, Y, R,  ,  ,1720,NM ,Canada Goose                            ,                                        , Dh,10,4.08,-5.409,14.095,3.043
 R,  , R,  ,1,1720,NS ,Canada Goose                            ,                                        , Dh,24,15.193,7.731,23.456,4.581
 R,  , R,  ,1,1720,NWT,Canada Goose                            ,                                        , Dh,14,10.692,0.622,21.832,6.433
 Y,  , Y,  ,  ,1720,NY ,Canada Goose                            ,                                        , Dh,112,2.078,-2.292,6.021,92.492
 Y,  , Y,  ,  ,1720,OHI,Canada Goose                            ,                                        , Dh,66,-0.303,-4.3,4.227,91.354
 R,  , R,  ,1,1720,OKL,Canada Goose                            ,                                        , Dh,28,9.564,3.835,15.567,6.023
 Y,  , Y,  ,1,1720,ONT,Canada Goose                            ,                                        , Dh,178,7.682,4.29,11.022,49.337
 Y,  , Y,  ,  ,1720,ORE,Canada Goose                            ,                                        , Dh,64,-1.335,-5.736,3.379,17.973
  ,  ,  ,  ,  ,1720,PA ,Canada Goose                            ,                                        , Dh,105,2.188,-0.734,5.213,130.579
 R, R, R,  ,  ,1720,PEI,Canada Goose                            ,                                        , Dh,4,7.577,-3.597,20.022,2.355
 R,  , R,  ,1,1720,QUE,Canada Goose                            ,                                        , Dh,112,15.862,8.461,22.545,13.46
 R, R, R,  ,  ,1720,RI ,Canada Goose                            ,                                        , Dh,3,2.099,-9.339,14.17,12.515
 Y,  , Y,  ,1,1720,SAS,Canada Goose                            ,                                        , Dh,84,4.959,0.788,9.794,120.234
 R,  , R,  ,1,1720,SC ,Canada Goose                            ,                                        , Dh,28,6.789,0.622,12.956,6.412
 R,  , R,  ,  ,1720,SD ,Canada Goose                            ,                                        , Dh,44,4.254,-1.555,10.448,39.549
 Y,  , Y,  ,1,1720,TEN,Canada Goose                            ,                                        , Dh,35,6.281,1.647,10.989,18.154
 R,  , R, Y,1,1720,TEX,Canada Goose                            ,                                        , Dh,15,16.9,7.602,26.99,0.937
 R,  , R,  ,1,1720,UT ,Canada Goose                            ,                                        , Dh,37,6.696,0.858,12.943,10.922
 R,  , R,  ,1,1720,VA ,Canada Goose                            ,                                        , Dh,48,8.094,3.167,13.316,32.889
 R,  , R,  ,1,1720,VT ,Canada Goose                            ,                                        , Dh,23,11.881,5.588,18.651,15.743
 Y,  , Y,  ,1,1720,WAS,Canada Goose                            ,                                        , Dh,62,7.796,3.14,12.597,7.752
 Y,  , Y,  ,1,1720,WIS,Canada Goose                            ,                                        , Dh,92,9.003,5.57,12.54,39.259
 R,  , R,  ,1,1720,WV ,Canada Goose                            ,                                        , Dh,41,8.142,3.024,13.57,14.481
 Y,  , Y,  ,1,1720,WYO,Canada Goose                            ,                                        , Dh,66,6.877,2.402,11.55,15.687
 R,  , R,  ,  ,1720,YT ,Canada Goose                            ,                                        , Dh,21,1.84,-5.001,9.46,6.758
  ,  ,  ,  ,1,1720,CAN,Canada Goose                            ,                                        , Dh,837,8.386,6.28,10.913,48.441
  ,  ,  ,  ,1,1720,US ,Canada Goose                            ,                                        , Dh,2322,5.641,3.523,7.754,32.187
  ,  ,  ,  ,1,1720,SUR,Canada Goose                            ,                                        , Dh,3159,7.125,5.515,8.971,38.772
  ,  ,  ,  ,1,1720,CA1,Canada Goose                            ,                                        , Dh,782,8.337,6.202,10.978,59.835
  ,  ,  ,  ,1,1720,US1,Canada Goose                            ,                                        , Dh,2277,6.47,5.21,7.973,34.811
  ,  ,  ,  ,1,1720,SU1,Canada Goose                            ,                                        , Dh,3059,7.574,6.191,9.363,44.357
 R, R, R, R,  ,1782,S05,Mute Swan                               ,                                        , Dh,3,2.124,-8.938,16.594,0.035
 R, R, R, R,  ,1782,S12,Mute Swan                               ,                                        , Dh,4,0.294,-11.139,12.837,0.055
 R, Y, R, R,  ,1782,S13,Mute Swan                               ,                                        , Dh,10,3.98,-6.494,16.376,0.047
 R, Y, R, R,  ,1782,S22,Mute Swan                               ,                                        , Dh,6,4.848,-4.754,16.869,0.03
 R,  , R, Y,  ,1782,S23,Mute Swan                               ,                                        , Dh,20,0.639,-4.385,5.87,0.774
 R, Y, R, Y,  ,1782,S28,Mute Swan                               ,                                        , Dh,13,3.196,-3.512,11.47,0.213
 R,  , R,  ,  ,1782,S30,Mute Swan                               ,                                        , Dh,26,-0.138,-5.905,5.558,1.859
 R, R, R, R,  ,1782,BC ,Mute Swan                               ,                                        , Dh,3,2.124,-8.938,16.594,0.035
 R, Y, R, Y,  ,1782,CON,Mute Swan                               ,                                        , Dh,6,2.348,-5.101,11.418,0.266
 R, R, R, R,  ,1782,ILL,Mute Swan                               ,                                        , Dh,3,2.518,-9.214,16.083,0.003
 R, Y, R, Y,  ,1782,IND,Mute Swan                               ,                                        , Dh,6,5.236,-3.377,16.943,0.19
 R, Y, R, Y,  ,1782,MAS,Mute Swan                               ,                                        , Dh,8,5.441,-2.64,14.26,0.221
 R, Y, R, Y,2,1782,MD ,Mute Swan                               ,                                        , Dh,5,-17.686,-39.399,-4.549,0.313
 R,  , R, Y,  ,1782,MIC,Mute Swan                               ,                                        , Dh,21,0.414,-4.978,7.514,0.379
 R, Y, R, Y,  ,1782,NJ ,Mute Swan                               ,                                        , Dh,8,-6.819,-14.914,1.364,0.271
 R, Y, R,  ,  ,1782,NY ,Mute Swan                               ,                                        , Dh,7,0.476,-5.524,6.919,2.452
 R, Y, R, R,  ,1782,ONT,Mute Swan                               ,                                        , Dh,10,3.98,-6.494,16.376,0.047
 R, Y, R, Y,  ,1782,PA ,Mute Swan                               ,                                        , Dh,5,7.092,-2.194,19.65,0.128
 R, Y, R, R,  ,1782,CAN,Mute Swan                               ,                                        , Dh,13,2.665,-5.813,14.569,0.045
 Y,  , Y, Y,  ,1782,US ,Mute Swan                               ,                                        , Dh,69,0.993,-3.012,5.563,0.432
 Y,  , Y, Y,  ,1782,SUR,Mute Swan                               ,                                        , Dh,82,1.118,-2.784,5.571,0.302
 R, Y, R, R,  ,1782,CA1,Mute Swan                               ,                                        , Dh,13,2.665,-5.813,14.569,0.045
 Y,  , Y, Y,  ,1782,US1,Mute Swan                               ,                                        , Dh,69,0.993,-3.012,5.563,0.432
 Y,  , Y, Y,  ,1782,SU1,Mute Swan                               ,                                        , Dh,82,1.118,-2.784,5.571,0.302
 Y,  , Y, Y,  ,1810,S04,Trumpeter Swan                          ,                                        , Dh,39,3.364,-1.418,8.349,0.414
 R, Y, R, Y,  ,1810,S05,Trumpeter Swan                          ,                                        , Dh,9,3.929,-3.141,11.59,0.186
 R, Y, R, R,  ,1810,S06,Trumpeter Swan                          ,                                        , Dh,7,11.37,-0.678,23.942,0.012
 R, R, R, R,  ,1810,S09,Trumpeter Swan                          ,                                        , Dh,3,0.71,-10.341,12.613,0.023
 R,  , R, R,  ,1810,S10,Trumpeter Swan                          ,                                        , Dh,14,5.771,-0.873,12.771,0.067
 R, Y, R, R,  ,1810,S11,Trumpeter Swan                          ,                                        , Dh,9,11.193,-0.26,22.948,0.014
 R,  , R, R,1,1810,S12,Trumpeter Swan                          ,                                        , Dh,43,18.929,12.435,26.189,0.033
 R, Y, R, R,1,1810,S13,Trumpeter Swan                          ,                                        , Dh,5,15.806,3.94,31.549,0.005
 R, Y, R, Y,  ,1810,S19,Trumpeter Swan                          ,                                        , Dh,6,5.978,-2.885,16.061,0.267
 R,  , R, R,1,1810,S23,Trumpeter Swan                          ,                                        , Dh,17,15.89,8.99,23.435,0.074
 Y,  , Y, Y,  ,1810,AK ,Trumpeter Swan                          ,                                        , Dh,26,0.073,-4.715,4.86,0.521
 R, Y, R, R,  ,1810,ALB,Trumpeter Swan                          ,                                        , Dh,10,9.742,-0.946,20.81,0.013
 R, R, R, R,  ,1810,BC ,Trumpeter Swan                          ,                                        , Dh,2,4.216,-7.861,19.778,0.003
 R, R, R, R,1,1810,MAN,Trumpeter Swan                          ,                                        , Dh,4,17.299,5.851,32.712,0.028
 R, Y, R, R,1,1810,MIC,Trumpeter Swan                          ,                                        , Dh,10,13.484,4.009,26.117,0.02
 R,  , R, Y,1,1810,MIN,Trumpeter Swan                          ,                                        , Dh,35,19.343,12.832,26.856,0.109
 R, R, R, R,  ,1810,MON,Trumpeter Swan                          ,                                        , Dh,4,1.992,-5.937,10.681,0.09
 R, Y, R, Y,  ,1810,NEB,Trumpeter Swan                          ,                                        , Dh,6,5.978,-2.885,16.061,0.267
 R, Y, R, R,1,1810,ONT,Trumpeter Swan                          ,                                        , Dh,9,15.454,6.593,26.401,0.004
 R, R, R, R,  ,1810,ORE,Trumpeter Swan                          ,                                        , Dh,3,0.71,-10.341,12.613,0.023
 R, Y, R, R,1,1810,WIS,Trumpeter Swan                          ,                                        , Dh,13,15.644,7.455,25.268,0.032
 R, Y, R, R,1,1810,WYO,Trumpeter Swan                          ,                                        , Dh,10,17.23,8.797,27.1,0.035
 R,  , R, Y,1,1810,YT ,Trumpeter Swan                          ,                                        , Dh,20,17.484,8.287,30.014,0.195
 R,  , R, R,1,1810,CAN,Trumpeter Swan                          ,                                        , Dh,45,15.07,8.161,22.396,0.066
 Y,  , Y, Y,  ,1810,US ,Trumpeter Swan                          ,                                        , Dh,107,2.461,-1.336,6.171,0.302
 Y,  , Y, Y,1,1810,SUR,Trumpeter Swan                          ,                                        , Dh,152,4.656,1.008,8.297,0.203
 R,  , R, R,1,1810,CA1,Trumpeter Swan                          ,                                        , Dh,25,10.715,2.939,18.891,0.01
 R,  , Y, R,1,1810,US1,Trumpeter Swan                          ,                                        , Dh,81,8.699,4.085,12.97,0.095
 R,  , Y, R,1,1810,SU1,Trumpeter Swan                          ,                                        , Dh,106,8.974,4.728,12.983,0.053
 Y, Y, Y,  ,  ,1800,S02,Tundra Swan                             ,                                        , DD,11,0,-3.634,4.599,5.879
 R, R, R,  ,  ,1800,S03,Tundra Swan                             ,                                        , DD,3,0.383,-3.518,15.238,2.413
 R, Y, R, Y,  ,1800,S04,Tundra Swan                             ,                                        , DD,5,-0.001,-5.262,5.093,0.213
 R, Y, R,  ,  ,1800,S06,Tundra Swan                             ,                                        , DD,5,0.445,-2.327,16.262,6.209
 Y,  , Y,  ,  ,1800,AK ,Tundra Swan                             ,                                        , DD,19,0.071,-2.379,5.293,2.142
 R, Y, R,  ,  ,1800,NWT,Tundra Swan                             ,                                        , DD,5,0.445,-2.327,16.262,6.209
 R, Y, R,  ,  ,1800,CAN,Tundra Swan                             ,                                        , DD,5,0.445,-2.327,16.262,6.209
 Y,  , Y,  ,  ,1800,US ,Tundra Swan                             ,                                        , DD,19,0.071,-2.379,5.293,2.142
 R,  , R,  ,  ,1800,SUR,Tundra Swan                             ,                                        , DD,24,0.415,-1.493,8.59,3.306
 Y,  ,  , Y,  ,1440,S05,Wood Duck                               ,                                        , Dh,53,-2.409,-4.735,0.063,0.138
 Y, Y, Y, Y,  ,1440,S06,Wood Duck                               ,                                        , Dh,12,3.461,-0.34,7.717,0.164
 R, R, R, R,  ,1440,S08,Wood Duck                               ,                                        , Dh,3,-0.325,-6.254,5.217,0.034
 R,  ,  , R,  ,1440,S09,Wood Duck                               ,                                        , Dh,40,0.342,-1.996,2.734,0.081
 R,  ,  , R,  ,1440,S10,Wood Duck                               ,                                        , Dh,30,-1.277,-4.143,1.536,0.056
 Y,  ,  , Y,  ,1440,S11,Wood Duck                               ,                                        , Dh,128,0.665,-1.124,2.284,0.464
 Y,  ,  , Y,  ,1440,S12,Wood Duck                               ,                                        , Dh,151,0.706,-0.853,2.332,0.473
 Y,  ,  , Y,  ,1440,S13,Wood Duck                               ,                                        , Dh,132,0.504,-0.961,2.029,0.566
 Y,  ,  , Y,  ,1440,S14,Wood Duck                               ,                                        , Dh,121,0.656,-1.01,2.349,0.147
 R, Y, Y, R,  ,1440,S15,Wood Duck                               ,                                        , Dh,5,1.95,-2.519,7.049,0.071
 R,  , Y, R,  ,1440,S17,Wood Duck                               ,                                        , Dh,26,1.297,-1.506,4.879,0.066
 R, Y, Y, R,  ,1440,S18,Wood Duck                               ,                                        , Dh,8,-0.072,-4.102,4.364,0.031
 Y,  ,  , Y,1,1440,S19,Wood Duck                               ,                                        , Dh,66,2.517,0.165,5.041,0.219
 Y,  , Y, Y,  ,1440,S21,Wood Duck                               ,                                        , Dh,31,0.768,-2.398,3.903,0.166
 Y,  ,  , Y,  ,1440,S22,Wood Duck                               ,                                        , Dh,210,0.347,-0.864,1.556,0.535
  ,  ,  ,  ,  ,1440,S23,Wood Duck                               ,                                        , Dh,129,0.601,-1.093,2.327,1.916
 Y,  ,  , Y,  ,1440,S24,Wood Duck                               ,                                        , Dh,104,-0.535,-2.055,1,0.464
 Y,  ,  , Y,  ,1440,S25,Wood Duck                               ,                                        , Dh,58,-1.642,-3.754,0.45,0.534
  ,  ,  ,  ,  ,1440,S26,Wood Duck                               ,                                        , Dh,50,-0.981,-3.191,1.204,2.361
 Y,  ,  , Y,  ,1440,S27,Wood Duck                               ,                                        , Dh,232,-0.226,-1.435,1.009,0.716
 Y,  ,  , Y,  ,1440,S28,Wood Duck                               ,                                        , Dh,235,-0.072,-1.272,1.069,0.357
 Y,  ,  , Y,  ,1440,S29,Wood Duck                               ,                                        , Dh,96,-0.384,-2.116,1.356,0.233
 Y,  ,  , Y,  ,1440,S30,Wood Duck                               ,                                        , Dh,88,0.904,-0.705,2.6,0.472
 Y,  ,  , Y,2,1440,S31,Wood Duck                               ,                                        , Dh,36,-4.376,-7.293,-1.622,0.575
 Y,  , Y, Y,  ,1440,S32,Wood Duck                               ,                                        , Dh,28,-1.615,-4.713,1.449,0.313
 Y,  , Y, Y,1,1440,S37,Wood Duck                               ,                                        , Dh,15,3.904,0.217,8.244,0.286
 Y,  ,  , Y,  ,1440,ALA,Wood Duck                               ,                                        , Dh,79,-1.507,-3.537,0.579,0.568
 R, R, R, R,  ,1440,ALB,Wood Duck                               ,                                        , Dh,2,-0.695,-6.207,5.052,0.005
 Y,  ,  , Y,  ,1440,ARK,Wood Duck                               ,                                        , Dh,35,-1.149,-3.772,1.607,0.751
 R,  , Y, R,  ,1440,BC ,Wood Duck                               ,                                        , Dh,22,-1.445,-4.545,1.786,0.068
 Y,  ,  , Y,  ,1440,CAL,Wood Duck                               ,                                        , Dh,50,-0.698,-2.904,1.423,0.234
 R, R, R, R,  ,1440,COL,Wood Duck                               ,                                        , Dh,3,-2.516,-7.928,2.449,0.013
 Y, Y, Y, Y,  ,1440,CON,Wood Duck                               ,                                        , Dh,12,0.704,-3.001,4.758,0.587
 Y, Y, Y, Y,  ,1440,DEL,Wood Duck                               ,                                        , Dh,10,1.585,-2.496,5.72,0.468
 Y,  ,  , Y,2,1440,FLA,Wood Duck                               ,                                        , Dh,64,-3.305,-5.456,-1.102,0.543
 Y,  ,  , Y,  ,1440,GA ,Wood Duck                               ,                                        , Dh,74,-0.812,-3.024,1.295,0.682
 Y,  ,  , Y,  ,1440,IA ,Wood Duck                               ,                                        , Dh,29,0.943,-1.659,3.665,0.521
 R, Y, Y, R,  ,1440,IDA,Wood Duck                               ,                                        , Dh,6,-0.687,-5.17,3.594,0.1
 Y,  ,  , Y,  ,1440,ILL,Wood Duck                               ,                                        , Dh,88,-0.46,-2.503,1.515,0.506
 Y,  ,  , Y,  ,1440,IND,Wood Duck                               ,                                        , Dh,58,-0.26,-2.224,1.834,0.986
 Y,  ,  , Y,  ,1440,KAN,Wood Duck                               ,                                        , Dh,42,1.083,-1.526,3.772,0.33
 Y,  ,  , Y,  ,1440,KY ,Wood Duck                               ,                                        , Dh,36,0.601,-2.1,3.46,0.533
